inventory_id,product_id,quantity_in_stock,last_stocked
1,2708,12,18-07-2024
2,1404,170,08-10-2024
3,622,167,27-01-2024
4,2979,11,15-03-2024
5,1748,104,19-09-2024
6,3438,156,07-03-2024
7,2495,107,08-03-2024
8,2932,181,12-10-2024
9,2753,138,20-01-2024
10,4481,150,16-07-2024
11,1067,195,25-02-2024
12,4900,36,11-03-2024
13,4524,86,22-01-2024
14,3149,82,28-04-2024
15,554,23,19-04-2024
16,2989,185,20-07-2024
17,3401,77,24-04-2024
18,64,18,12-09-2024
19,4039,29,05-10-2024
20,4974,10,02-04-2024
21,4505,10,03-05-2024
22,2769,10,13-02-2024
23,2496,138,22-08-2024
24,2577,88,09-07-2024
25,2163,36,18-07-2024
26,2296,25,28-10-2024
27,463,195,29-10-2024
28,3216,195,06-08-2024
29,3460,119,08-02-2024
30,1948,70,10-06-2024
31,4354,152,09-04-2024
32,3958,15,15-08-2024
33,2702,44,17-05-2024
34,4342,89,03-07-2024
35,2084,79,13-02-2024
36,1088,80,07-11-2024
37,1244,58,21-10-2024
38,946,134,14-01-2024
39,5,160,07-11-2024
40,4182,91,22-04-2024
41,177,51,24-02-2024
42,1525,95,16-09-2024
43,1016,5,12-05-2024
44,2104,34,29-08-2024
45,3116,53,17-08-2024
46,4494,147,07-01-2024
47,4651,72,06-01-2024
48,1046,37,30-09-2024
49,2231,0,30-10-2024
50,3161,175,02-09-2024
51,1970,197,13-03-2024
52,2487,119,17-07-2024
53,7,0,24-04-2024
54,1784,62,04-03-2024
55,3598,180,21-02-2024
56,1768,50,16-04-2024
57,670,134,24-10-2024
58,4832,50,07-02-2024
59,2681,84,12-07-2024
60,987,80,17-01-2024
61,3313,30,01-10-2024
62,2124,173,18-02-2024
63,1285,179,28-07-2024
64,125,90,06-11-2024
65,2,18,30-10-2024
66,3462,187,10-09-2024
67,4245,105,27-03-2024
68,1855,51,31-08-2024
69,3174,107,31-10-2024
70,1491,71,07-02-2024
71,3987,10,02-04-2024
72,3155,176,11-07-2024
73,4787,139,10-07-2024
74,5,50,19-09-2024
75,987,189,17-04-2024
76,2984,122,22-03-2024
77,1380,117,09-04-2024
78,1532,119,14-01-2024
79,4521,173,28-03-2024
80,2607,51,24-01-2024
81,911,11,12-05-2024
82,137,17,13-10-2024
83,4921,168,16-09-2024
84,2762,26,02-07-2024
85,3027,140,10-08-2024
86,1078,35,07-03-2024
87,1392,24,08-05-2024
88,1110,148,01-10-2024
89,1781,140,05-09-2024
90,4932,153,05-02-2024
91,1945,35,12-07-2024
92,4836,89,27-03-2024
93,4027,103,27-03-2024
94,4881,93,05-04-2024
95,566,95,14-05-2024
96,3718,127,21-07-2024
97,4739,95,14-02-2024
98,1511,64,31-03-2024
99,2790,117,07-06-2024
100,2698,35,13-07-2024
101,890,71,04-03-2024
102,4035,157,22-10-2024
103,2171,44,04-03-2024
