order_id,product_id,quantity_ordered,order_date,status,customer_id
1,3722,11,13-03-2024,Delivered,4266
2,3828,2,13-10-2024,Pending,3109
3,4842,20,27-01-2024,Delivered,2765
4,2765,5,08-03-2024,Shipped,217
5,1893,14,10-04-2024,Shipped,1252
6,1204,11,05-05-2024,Shipped,3256
7,1529,14,08-11-2024,Pending,3485
8,978,17,26-09-2024,Delivered,3455
9,2408,4,28-07-2024,Pending,4178
10,2115,1,29-02-2024,Delivered,2994
11,2185,7,12-04-2024,Canceled,3454
12,944,7,29-10-2024,Shipped,3040
13,3738,15,04-07-2024,Pending,4667
14,3969,11,18-10-2024,Delivered,1685
15,4050,9,04-01-2024,Canceled,512
16,4248,18,16-07-2024,Shipped,2233
17,1750,10,10-01-2024,Canceled,4271
18,3360,4,18-10-2024,Pending,529
19,4349,7,12-07-2024,Pending,1503
20,3637,17,17-01-2024,Shipped,73
21,2363,20,15-08-2024,Canceled,1379
22,3694,8,11-03-2024,Delivered,2587
23,610,8,28-06-2024,Delivered,3750
24,3116,16,19-07-2024,Pending,4035
25,898,11,07-09-2024,Delivered,903
26,3879,14,01-11-2024,Canceled,1135
27,3818,4,20-05-2024,Pending,5000
28,2297,12,23-06-2024,Shipped,3086
29,2746,12,14-04-2024,Shipped,4125
30,4480,16,11-10-2024,Canceled,2549
31,1045,16,15-03-2024,Delivered,4951
32,3909,8,08-06-2024,Shipped,3380
33,823,12,26-09-2024,Shipped,1646
34,1785,18,21-04-2024,Shipped,1248
35,1092,20,04-03-2024,Canceled,2303
36,1818,13,08-05-2024,Delivered,455
37,3072,5,16-04-2024,Pending,3049
38,4110,7,10-03-2024,Shipped,2657
39,1654,11,19-09-2024,Canceled,4553
40,4099,4,30-04-2024,Canceled,4343
41,926,15,20-09-2024,Shipped,1570
42,4990,9,28-06-2024,Delivered,2069
43,2772,2,24-01-2024,Shipped,2889
44,1500,20,07-03-2024,Pending,2380
45,1781,7,29-05-2024,Pending,3209
46,696,15,30-08-2024,Canceled,4206
47,4888,13,11-02-2024,Pending,1537
48,368,11,01-09-2024,Pending,2924
49,2322,7,03-05-2024,Canceled,1899
50,32,10,03-11-2024,Pending,958
51,704,1,13-09-2024,Delivered,1994
52,1065,15,23-04-2024,Canceled,4949
53,4099,14,03-06-2024,Delivered,3562
54,3233,16,06-06-2024,Canceled,4599
55,3248,2,18-06-2024,Pending,2554
56,3157,4,23-08-2024,Canceled,1496
57,3585,19,31-08-2024,Pending,72
58,4489,12,21-02-2024,Pending,331
59,4588,4,01-01-2024,Delivered,3435
60,238,19,06-07-2024,Pending,2690
61,4197,13,28-10-2024,Pending,3926
62,2291,15,28-09-2024,Delivered,3897
63,549,2,08-03-2024,Delivered,4569
64,2746,20,10-08-2024,Canceled,963
65,1977,16,27-06-2024,Pending,1200
66,4726,11,27-02-2024,Canceled,4826
67,2364,17,21-02-2024,Shipped,4461
68,134,1,31-10-2024,Shipped,859
69,1659,16,19-10-2024,Pending,4099
70,3695,1,27-10-2024,Delivered,4105
71,3080,8,01-04-2024,Delivered,4769
72,2614,1,29-09-2024,Canceled,3094
73,2701,3,15-02-2024,Canceled,1592
74,3860,6,06-10-2024,Pending,1813
75,2393,9,22-07-2024,Canceled,4329
76,1752,11,08-09-2024,Canceled,2114
77,3797,14,18-06-2024,Canceled,2231
78,4763,8,10-01-2024,Shipped,2579
79,1013,2,16-07-2024,Pending,3929
80,88,19,08-06-2024,Shipped,3107
81,4873,13,25-09-2024,Delivered,3176
82,685,4,03-04-2024,Canceled,2839
83,4771,2,21-03-2024,Pending,1806
84,114,1,27-04-2024,Delivered,4675
85,4488,7,20-10-2024,Pending,1281
86,3668,11,11-10-2024,Delivered,2058
87,1090,2,17-04-2024,Shipped,3662
88,1679,12,16-05-2024,Delivered,4675
89,4231,3,30-03-2024,Canceled,4984
90,637,15,14-08-2024,Pending,875
91,1128,13,19-06-2024,Canceled,2197
92,3812,19,19-05-2024,Delivered,610
93,3412,12,19-01-2024,Pending,295
94,4224,14,01-08-2024,Canceled,1993
95,426,18,07-03-2024,Shipped,732
96,2815,3,09-08-2024,Pending,1518
97,2247,17,11-09-2024,Pending,4817
98,2547,11,08-01-2024,Delivered,2732
99,4469,5,24-09-2024,Canceled,440
100,4825,15,19-03-2024,Delivered,1646
101,1358,6,18-07-2024,Delivered,1230
102,943,2,06-10-2024,Pending,2060
103,109,13,05-05-2024,Delivered,1003
104,49,5,31-05-2024,Canceled,3562
105,592,19,29-09-2024,Pending,630
106,1387,16,19-08-2024,Shipped,1669
107,3085,17,13-07-2024,Canceled,638
108,165,8,18-01-2024,Canceled,377
109,2980,13,23-02-2024,Delivered,3890
110,2997,7,04-08-2024,Canceled,4715
111,1012,1,27-04-2024,Delivered,1429
112,423,10,18-04-2024,Shipped,7
113,1153,18,01-01-2024,Shipped,3179
114,1754,9,29-02-2024,Pending,4322
115,772,5,24-06-2024,Canceled,2611
116,3263,12,19-07-2024,Delivered,4774
117,4721,4,18-03-2024,Pending,2402
118,4639,5,12-06-2024,Pending,4819
119,1792,9,25-09-2024,Canceled,4039
120,308,12,21-02-2024,Delivered,186
121,3315,6,12-09-2024,Pending,871
122,3269,18,27-05-2024,Shipped,923
123,4377,16,02-08-2024,Delivered,3336
124,1870,1,05-10-2024,Shipped,977
125,795,18,17-04-2024,Delivered,4621
126,4880,12,27-08-2024,Shipped,866
127,2475,6,24-04-2024,Shipped,1816
128,1677,14,12-02-2024,Pending,3837
129,4524,20,22-09-2024,Canceled,1746
130,4111,15,20-09-2024,Canceled,3721
131,13,19,23-04-2024,Pending,2629
132,2032,12,26-06-2024,Delivered,797
133,3737,18,20-08-2024,Pending,1290
134,3896,13,22-01-2024,Canceled,4238
135,2376,3,12-04-2024,Delivered,1117
136,3561,9,21-04-2024,Canceled,1260
137,3025,10,25-06-2024,Delivered,1863
138,2997,12,06-05-2024,Shipped,2730
139,723,20,01-02-2024,Canceled,2970
140,1572,13,14-05-2024,Pending,522
141,3302,6,01-04-2024,Pending,3955
142,4885,10,09-07-2024,Pending,517
143,2858,3,02-09-2024,Delivered,607
144,3682,12,23-08-2024,Canceled,4848
145,2329,11,05-03-2024,Delivered,2787
146,3075,7,04-06-2024,Shipped,3433
147,4035,3,04-09-2024,Pending,4847
148,4292,16,07-01-2024,Canceled,952
149,113,17,21-10-2024,Pending,4620
150,3259,9,16-06-2024,Shipped,858
151,4340,9,09-01-2024,Delivered,139
152,79,13,28-07-2024,Shipped,4988
153,1867,18,26-10-2024,Pending,595
154,2203,9,06-11-2024,Pending,4223
155,1524,10,20-02-2024,Pending,325
156,2960,3,06-04-2024,Pending,48
157,3329,3,22-09-2024,Canceled,2462
158,4168,6,20-07-2024,Canceled,247
159,3526,20,26-02-2024,Delivered,4992
160,2538,4,05-01-2024,Canceled,4378
161,572,2,22-09-2024,Pending,2421
162,3827,1,07-01-2024,Shipped,408
163,1256,10,06-01-2024,Shipped,1401
164,2915,6,21-09-2024,Canceled,4496
165,1742,19,04-09-2024,Delivered,4969
166,3375,12,07-03-2024,Shipped,4690
167,3908,7,18-08-2024,Pending,4160
168,170,13,02-07-2024,Shipped,1426
169,806,13,27-07-2024,Delivered,767
170,2605,10,04-01-2024,Canceled,2800
171,4732,13,12-06-2024,Pending,2347
172,1195,18,04-09-2024,Delivered,1485
173,4827,11,06-07-2024,Pending,3753
174,2698,16,10-10-2024,Shipped,2462
175,1189,2,03-11-2024,Delivered,3549
176,43,3,02-08-2024,Delivered,728
177,920,3,23-02-2024,Shipped,269
178,2211,20,31-08-2024,Canceled,2657
179,4403,11,14-04-2024,Pending,2196
180,3261,6,12-06-2024,Canceled,2541
181,3346,18,01-05-2024,Shipped,3226
182,394,16,02-09-2024,Shipped,591
183,2483,6,01-05-2024,Pending,4993
184,69,18,19-03-2024,Canceled,1549
185,482,20,02-01-2024,Pending,1228
186,188,1,24-08-2024,Canceled,3433
187,426,15,27-02-2024,Pending,222
188,1176,17,27-02-2024,Canceled,4692
189,1019,15,11-03-2024,Canceled,289
190,3282,18,07-03-2024,Shipped,12
191,3362,16,16-02-2024,Canceled,1021
192,3457,18,19-02-2024,Shipped,4123
193,3048,8,18-07-2024,Shipped,1118
194,2642,7,31-07-2024,Shipped,1344
195,2909,17,10-02-2024,Shipped,1840
196,3738,10,03-06-2024,Delivered,4492
197,3654,12,30-08-2024,Delivered,1670
198,4313,18,09-01-2024,Delivered,1932
199,4758,3,20-03-2024,Canceled,3616
200,133,7,04-11-2024,Shipped,4082
201,3193,14,04-05-2024,Pending,2469
202,4774,2,27-07-2024,Pending,4792
203,3963,8,25-03-2024,Delivered,3189
204,2099,12,27-10-2024,Delivered,2627
205,112,6,08-03-2024,Shipped,506
206,362,18,05-10-2024,Pending,2149
207,3274,7,28-02-2024,Shipped,2038
208,3580,6,29-03-2024,Delivered,4388
209,638,5,05-03-2024,Delivered,276
210,3914,20,11-07-2024,Canceled,4394
211,170,7,25-02-2024,Canceled,4281
212,2785,4,28-03-2024,Delivered,1657
213,592,14,28-04-2024,Canceled,1709
214,3624,14,10-04-2024,Delivered,3310
215,4896,13,23-02-2024,Pending,3123
216,1218,15,14-04-2024,Delivered,4569
217,3928,3,28-01-2024,Shipped,160
218,2808,3,25-10-2024,Delivered,1110
219,2912,5,01-06-2024,Delivered,4836
220,4849,10,23-01-2024,Canceled,746
221,4154,2,19-07-2024,Shipped,4099
222,284,16,24-03-2024,Delivered,3422
223,1742,20,04-08-2024,Delivered,798
224,3164,16,22-07-2024,Pending,3505
225,3689,9,07-09-2024,Pending,4512
226,1766,20,16-09-2024,Delivered,4341
227,4074,20,01-02-2024,Canceled,3702
228,202,14,08-04-2024,Delivered,3945
229,597,15,21-10-2024,Delivered,1574
230,3034,6,29-07-2024,Canceled,4659
231,17,9,14-08-2024,Canceled,1756
232,426,18,08-09-2024,Shipped,2500
233,4839,1,19-08-2024,Delivered,535
234,3802,1,15-04-2024,Pending,3841
235,1181,16,29-07-2024,Canceled,4362
236,2157,13,16-09-2024,Canceled,79
237,2839,18,05-03-2024,Canceled,694
238,248,1,17-09-2024,Delivered,3077
239,2447,5,04-03-2024,Shipped,2925
240,954,3,24-03-2024,Shipped,4945
241,1939,18,23-09-2024,Canceled,345
242,2530,16,15-03-2024,Delivered,4095
243,1201,19,19-02-2024,Shipped,690
244,433,11,09-03-2024,Shipped,3139
245,164,20,14-07-2024,Shipped,4505
246,3785,1,09-10-2024,Delivered,2048
247,3241,13,26-04-2024,Delivered,3663
248,1780,13,14-06-2024,Shipped,3863
249,4935,13,19-10-2024,Canceled,752
250,1704,5,02-06-2024,Shipped,2879
251,858,19,16-02-2024,Canceled,1538
252,3740,19,21-08-2024,Shipped,1925
