product_id,product_name,category,price,reorder_level
1,Gym Bag,Sports,99.24,25
2,Printer Paper,Office Supplies,275.05,42
3,Bluetooth Headphones,Electronics,417.73,15
4,Football,Sports,190.97,42
5,Belt,Clothing,212.78,49
6,Basketball Hoop,Sports,229.53,37
7,Belt,Clothing,239.03,28
8,Hat,Clothing,70.39,28
9,Ink Cartridge,Office Supplies,491.86,43
10,Television,Electronics,79.78,49
11,Jeans,Clothing,190.76,11
12,Sofa,Furniture,133.5,37
13,T-Shirt,Clothing,134.56,25
14,Gaming Console,Electronics,141.27,34
15,Bookshelf,Furniture,259.07,14
16,Wardrobe,Furniture,246.23,17
17,Running Shoes,Sports,79.02,37
18,Office Chair,Furniture,363.72,31
19,Office Chair,Furniture,156.84,38
20,Running Shoes,Sports,237.62,25
21,Hat,Clothing,48.55,11
22,Smartphone,Electronics,446.02,43
23,Smartwatch,Electronics,190.57,26
24,Hat,Clothing,381.54,13
25,Bluetooth Headphones,Electronics,86.62,27
26,Smartwatch,Electronics,83.95,31
27,Sneakers,Clothing,258.53,34
28,File Folder,Office Supplies,482.9,28
29,Laptop,Electronics,217.03,33
30,Television,Electronics,499.68,50
31,Dining Table,Furniture,10.23,22
32,Ink Cartridge,Office Supplies,372.36,19
33,Office Chair,Furniture,273.26,43
34,Notebook,Office Supplies,392.21,36
35,Pen,Office Supplies,358.6,15
36,Laptop,Electronics,290.9,17
37,Bluetooth Headphones,Electronics,476.36,33
38,Football,Sports,432.62,11
39,Bookshelf,Furniture,66.09,45
40,Pen,Office Supplies,435.58,47
41,Dining Table,Furniture,93.48,31
42,Notebook,Office Supplies,246.74,10
43,Running Shoes,Sports,189.76,30
44,Digital Camera,Electronics,144.78,16
45,Desk Organizer,Office Supplies,439.83,11
46,Dining Table,Furniture,236.05,30
47,Laptop,Electronics,265.86,35
48,Bookshelf,Furniture,218.4,47
49,Bookshelf,Furniture,477.01,41
50,Laptop,Electronics,170.2,50
51,Notebook,Office Supplies,172,44
52,T-Shirt,Clothing,257.13,35
53,Ink Cartridge,Office Supplies,394.89,45
54,Hat,Clothing,8.56,47
55,Ink Cartridge,Office Supplies,385.15,43
56,Bookshelf,Furniture,458.34,12
57,Desk Organizer,Office Supplies,340.75,35
58,Whiteboard,Office Supplies,458.26,31
59,Bicycle,Sports,285.79,14
60,Pen,Office Supplies,268.9,39
61,Printer Paper,Office Supplies,34.21,23
62,Jeans,Clothing,292.51,34
63,Bicycle,Sports,425.07,14
64,Hat,Clothing,362.32,33
65,Smartwatch,Electronics,331.63,30
66,T-Shirt,Clothing,307.99,18
67,Stapler,Office Supplies,495.55,22
68,TV Stand,Furniture,406.1,40
69,Sneakers,Clothing,266.77,29
70,Yoga Mat,Sports,190.16,48
71,Yoga Mat,Sports,223.81,11
72,Smartwatch,Electronics,16.38,32
73,Ink Cartridge,Office Supplies,77.27,31
74,Smartwatch,Electronics,212.97,13
75,Stapler,Office Supplies,222.18,39
76,Jeans,Clothing,150.94,43
77,Dress,Clothing,285.74,50
78,TV Stand,Furniture,272.6,39
79,Dress,Clothing,49.16,43
80,Dining Table,Furniture,447.43,48
81,Jeans,Clothing,293.25,14
82,Dress,Clothing,103.12,14
83,Printer Paper,Office Supplies,283.56,33
84,Printer Paper,Office Supplies,241.56,14
85,Hat,Clothing,308.02,16
86,Jacket,Clothing,209.27,42
87,Jeans,Clothing,470.76,23
88,Desk Organizer,Office Supplies,196.16,48
89,Jacket,Clothing,479.41,22
90,Gaming Console,Electronics,208.07,35
91,Running Shoes,Sports,359.39,49
92,Dining Table,Furniture,71.2,40
93,Belt,Clothing,192.94,38
94,Gym Bag,Sports,97.15,16
95,Power Bank,Electronics,301.54,25
96,T-Shirt,Clothing,364.21,49
97,Office Chair,Furniture,423.86,43
98,Whiteboard,Office Supplies,242.01,47
99,Dumbbell,Sports,371.08,20
100,Jeans,Clothing,306.43,47
101,Basketball Hoop,Sports,311.68,48
102,Digital Camera,Electronics,163.45,10
103,Jacket,Clothing,427.52,49
104,T-Shirt,Clothing,326.66,35
105,Bookshelf,Furniture,456.99,24
106,TV Stand,Furniture,67.99,27
107,Smartwatch,Electronics,361.73,15
108,Hat,Clothing,205.07,42
109,File Folder,Office Supplies,169.32,37
110,Tennis Racket,Sports,15.5,43
111,Desk Organizer,Office Supplies,359.7,13
112,Office Chair,Furniture,14.92,30
113,Sofa,Furniture,145.21,28
114,File Folder,Office Supplies,207.96,47
115,Dumbbell,Sports,116.32,17
116,Football,Sports,294.93,48
117,Dress,Clothing,208.69,42
118,Office Chair,Furniture,240.83,44
119,Sneakers,Clothing,234.67,20
120,Coffee Table,Furniture,481.69,14
121,Sneakers,Clothing,116.41,41
122,Printer Paper,Office Supplies,467.2,37
123,T-Shirt,Clothing,150.3,30
124,Ink Cartridge,Office Supplies,452.55,25
125,Wardrobe,Furniture,431.9,10
126,Jacket,Clothing,154.75,39
127,Pen,Office Supplies,457.16,45
128,Jeans,Clothing,258.59,34
129,Desk Organizer,Office Supplies,401.49,11
130,Television,Electronics,402.27,13
131,Bookshelf,Furniture,128.83,26
132,Belt,Clothing,15.78,39
133,Whiteboard,Office Supplies,372.21,32
134,Whiteboard,Office Supplies,23.1,30
135,Dining Table,Furniture,393.74,15
136,Ink Cartridge,Office Supplies,45.34,16
137,Television,Electronics,272.57,50
138,Digital Camera,Electronics,377.84,31
139,Hat,Clothing,415.23,50
140,Running Shoes,Sports,128.04,37
141,Running Shoes,Sports,139.45,20
142,Coffee Table,Furniture,269.52,15
143,Sneakers,Clothing,348.09,23
144,Running Shoes,Sports,229.82,27
145,Office Chair,Furniture,268.85,19
146,Dining Table,Furniture,268.43,20
147,Hoodie,Clothing,149.54,30
148,Dress,Clothing,306.87,23
149,Sofa,Furniture,171.09,49
150,Television,Electronics,412.31,31
151,Basketball Hoop,Sports,259.87,11
152,Power Bank,Electronics,124.18,28
153,Dress,Clothing,407,21
154,Basketball Hoop,Sports,216.73,30
155,Bluetooth Headphones,Electronics,363.41,42
156,Belt,Clothing,215.58,18
157,Gym Bag,Sports,181.46,22
158,Running Shoes,Sports,65.23,45
159,Laptop,Electronics,45.32,31
160,Football,Sports,249.88,18
161,File Folder,Office Supplies,43.14,36
162,TV Stand,Furniture,56.9,18
163,Dress,Clothing,371.05,39
164,Yoga Mat,Sports,226.29,37
165,Jeans,Clothing,172.87,32
166,Ink Cartridge,Office Supplies,366.41,11
167,Television,Electronics,57.43,27
168,Office Chair,Furniture,133.44,50
169,Pen,Office Supplies,263.09,44
170,Bed,Furniture,268.78,23
171,Basketball Hoop,Sports,69.75,11
172,Hat,Clothing,195.75,11
173,Ink Cartridge,Office Supplies,23.65,33
174,Notebook,Office Supplies,480.81,34
175,Bicycle,Sports,326.2,43
176,Bicycle,Sports,284.3,19
177,Running Shoes,Sports,68.34,14
178,Bookshelf,Furniture,69.79,34
179,Bed,Furniture,291.88,14
180,Jacket,Clothing,430.66,20
181,Bed,Furniture,131.94,15
182,Smartphone,Electronics,265.62,19
183,Football,Sports,77.06,18
184,Sofa,Furniture,382,49
185,Gym Bag,Sports,119.33,39
186,Sofa,Furniture,464.96,40
187,Football,Sports,192.94,50
188,Yoga Mat,Sports,308.1,39
189,Gym Bag,Sports,189.8,32
190,Bookshelf,Furniture,290.39,13
191,Basketball Hoop,Sports,313.58,15
192,Dining Table,Furniture,157.32,35
193,Notebook,Office Supplies,460,21
194,Desk Organizer,Office Supplies,151.43,29
195,Bed,Furniture,282.52,35
196,Sofa,Furniture,386.68,10
197,Hoodie,Clothing,452.47,36
198,Jacket,Clothing,296.78,46
199,Power Bank,Electronics,366.22,42
200,Hat,Clothing,150.97,36
201,Printer Paper,Office Supplies,314.16,35
202,Hat,Clothing,41.25,37
203,Stapler,Office Supplies,376.38,10
204,Tennis Racket,Sports,420.53,14
205,Jacket,Clothing,336.27,37
206,Bed,Furniture,63.95,16
207,Basketball Hoop,Sports,50.88,15
208,Hoodie,Clothing,16.54,37
209,Printer Paper,Office Supplies,344.19,16
210,Whiteboard,Office Supplies,255.96,32
211,Notebook,Office Supplies,59.96,50
212,Stapler,Office Supplies,324.55,32
213,Basketball Hoop,Sports,384.85,41
214,Football,Sports,170.97,40
215,Gym Bag,Sports,391.36,21
216,Coffee Table,Furniture,111.18,40
217,Pen,Office Supplies,72.43,38
218,Laptop,Electronics,88.06,39
219,File Folder,Office Supplies,287.6,17
220,Power Bank,Electronics,55.05,26
221,Laptop,Electronics,226.14,26
222,Dining Table,Furniture,212.8,33
223,Bookshelf,Furniture,496,47
224,Ink Cartridge,Office Supplies,438.82,11
225,Basketball Hoop,Sports,86.21,34
226,Tennis Racket,Sports,408.07,38
227,Bicycle,Sports,483.36,45
228,Hat,Clothing,20.1,43
229,Smartphone,Electronics,283.73,48
230,Belt,Clothing,32.63,12
231,Power Bank,Electronics,350.01,26
232,Pen,Office Supplies,451.1,37
233,Television,Electronics,434.46,16
234,Dress,Clothing,467.51,29
235,TV Stand,Furniture,241.23,20
236,File Folder,Office Supplies,218.77,24
237,Yoga Mat,Sports,158.72,30
238,Office Chair,Furniture,474.71,50
239,Jeans,Clothing,149.77,27
240,Office Chair,Furniture,247.3,38
241,Printer Paper,Office Supplies,486.13,13
242,Dress,Clothing,170.53,19
243,Office Chair,Furniture,283.26,38
244,Football,Sports,347.74,11
245,File Folder,Office Supplies,91.28,29
246,Printer Paper,Office Supplies,249.57,29
247,Running Shoes,Sports,6.29,46
248,Belt,Clothing,118.89,25
249,Laptop,Electronics,301.04,47
250,Tennis Racket,Sports,476.34,19
251,Hat,Clothing,76.44,20
252,Running Shoes,Sports,184.97,42
253,Sneakers,Clothing,299.77,18
254,Sofa,Furniture,156.41,13
255,T-Shirt,Clothing,338.58,26
256,Power Bank,Electronics,495.86,22
257,Dumbbell,Sports,321.28,33
258,Tennis Racket,Sports,484.79,20
259,Smartphone,Electronics,418.14,39
260,Gaming Console,Electronics,177.18,11
261,Smartwatch,Electronics,426.05,12
262,Desk Organizer,Office Supplies,322.34,49
263,Bicycle,Sports,452.01,28
264,Stapler,Office Supplies,309.92,32
265,Smartwatch,Electronics,401.91,29
266,Smartphone,Electronics,41.21,17
267,Gym Bag,Sports,172.11,18
268,Stapler,Office Supplies,234.62,12
269,Bicycle,Sports,374.49,50
270,Laptop,Electronics,142.22,45
271,Running Shoes,Sports,324.65,34
272,Basketball Hoop,Sports,438.77,11
273,Dumbbell,Sports,207.02,42
274,File Folder,Office Supplies,234,19
275,Bed,Furniture,44.01,24
276,Pen,Office Supplies,415.87,47
277,Dress,Clothing,449.6,29
278,Gym Bag,Sports,435.62,10
279,Printer Paper,Office Supplies,90.52,30
280,Bluetooth Headphones,Electronics,444,15
281,T-Shirt,Clothing,195.4,42
282,File Folder,Office Supplies,58.82,47
283,Pen,Office Supplies,252.47,12
284,Jeans,Clothing,493.03,40
285,Laptop,Electronics,165.94,23
286,Coffee Table,Furniture,297.98,36
287,Ink Cartridge,Office Supplies,356.74,37
288,Notebook,Office Supplies,87.4,12
289,Whiteboard,Office Supplies,234.7,44
290,Football,Sports,168.47,28
291,Sneakers,Clothing,479.55,49
292,Bed,Furniture,172.34,38
293,Smartphone,Electronics,210.22,49
294,Bookshelf,Furniture,208.34,13
295,Television,Electronics,386.87,34
296,Television,Electronics,198.79,32
297,Pen,Office Supplies,236.93,11
298,Power Bank,Electronics,417.28,17
299,Desk Organizer,Office Supplies,324.83,48
300,Bookshelf,Furniture,399.89,42
301,Office Chair,Furniture,91.66,12
302,File Folder,Office Supplies,157.01,38
303,Football,Sports,57.53,50
304,Jacket,Clothing,243.22,22
305,Sofa,Furniture,429.42,17
306,File Folder,Office Supplies,460.98,12
307,Notebook,Office Supplies,206.7,37
308,Whiteboard,Office Supplies,407.12,11
309,Hat,Clothing,363,38
310,Bed,Furniture,138.19,45
311,Dumbbell,Sports,160.71,48
312,Hoodie,Clothing,382.01,41
313,Bookshelf,Furniture,391.36,41
314,Television,Electronics,196.03,22
315,Bed,Furniture,132.3,33
316,Ink Cartridge,Office Supplies,403.12,10
317,Hat,Clothing,38.44,12
318,Power Bank,Electronics,178.68,32
319,Football,Sports,25.99,14
320,Pen,Office Supplies,135.23,49
321,Running Shoes,Sports,148.03,42
322,Dumbbell,Sports,453.71,11
323,T-Shirt,Clothing,80.05,21
324,Jacket,Clothing,298.49,45
325,Belt,Clothing,388.01,25
326,Dumbbell,Sports,495.27,46
327,Dumbbell,Sports,187.07,12
328,Hoodie,Clothing,432.35,46
329,Yoga Mat,Sports,200.58,27
330,Basketball Hoop,Sports,109.63,41
331,Stapler,Office Supplies,383.3,36
332,Hoodie,Clothing,363.74,28
333,Ink Cartridge,Office Supplies,99.4,40
334,Desk Organizer,Office Supplies,51.61,44
335,Smartphone,Electronics,103.55,18
336,Bluetooth Headphones,Electronics,154.24,32
337,Laptop,Electronics,21.79,37
338,Sneakers,Clothing,377.55,47
339,Bookshelf,Furniture,256.82,17
340,Yoga Mat,Sports,229.11,44
341,Television,Electronics,226.03,14
342,Bed,Furniture,43.79,25
343,Gym Bag,Sports,438.65,48
344,Hoodie,Clothing,95.79,11
345,Pen,Office Supplies,93.01,16
346,Football,Sports,423.81,11
347,Bluetooth Headphones,Electronics,412.58,26
348,Sofa,Furniture,350.11,50
349,File Folder,Office Supplies,101.22,17
350,Wardrobe,Furniture,359,13
351,Hat,Clothing,453.91,33
352,Bicycle,Sports,349.57,15
353,Hoodie,Clothing,394.89,35
354,Television,Electronics,210.06,41
355,Tennis Racket,Sports,100.41,19
356,Sofa,Furniture,306.72,17
357,Laptop,Electronics,96.92,48
358,Bookshelf,Furniture,24.84,11
359,Dining Table,Furniture,229.31,21
360,Sneakers,Clothing,489.67,18
361,Ink Cartridge,Office Supplies,144.85,45
362,Television,Electronics,462.18,45
363,Hat,Clothing,87.63,45
364,Printer Paper,Office Supplies,255.37,26
365,Television,Electronics,446.06,32
366,Gaming Console,Electronics,221.79,31
367,Hoodie,Clothing,137.47,14
368,Sneakers,Clothing,437.35,12
369,Dining Table,Furniture,145.75,23
370,Bicycle,Sports,289.61,46
371,Television,Electronics,64.99,37
372,Notebook,Office Supplies,185.3,22
373,Wardrobe,Furniture,456.7,26
374,Notebook,Office Supplies,318.48,20
375,Jacket,Clothing,219.71,45
376,Yoga Mat,Sports,371.21,18
377,Office Chair,Furniture,366.99,31
378,T-Shirt,Clothing,366.41,25
379,Desk Organizer,Office Supplies,173.28,13
380,Laptop,Electronics,319.92,24
381,File Folder,Office Supplies,325.82,12
382,Basketball Hoop,Sports,114.05,38
383,Sneakers,Clothing,210.65,29
384,Jeans,Clothing,343.62,46
385,Gaming Console,Electronics,222.31,27
386,Bicycle,Sports,99.05,39
387,Television,Electronics,228.83,33
388,Bluetooth Headphones,Electronics,319.91,44
389,Television,Electronics,406.97,33
390,TV Stand,Furniture,82.54,46
391,Smartwatch,Electronics,432.48,16
392,Tennis Racket,Sports,283.75,34
393,Pen,Office Supplies,476.72,26
394,Sofa,Furniture,322.62,46
395,Notebook,Office Supplies,286.8,40
396,Digital Camera,Electronics,387.8,50
397,Notebook,Office Supplies,423.18,37
398,Tennis Racket,Sports,341.15,30
399,Hoodie,Clothing,100.17,34
400,Laptop,Electronics,457.35,12
401,Ink Cartridge,Office Supplies,65.66,21
402,Laptop,Electronics,330.81,47
403,Yoga Mat,Sports,191.53,38
404,Stapler,Office Supplies,487.7,30
405,Bluetooth Headphones,Electronics,476.06,36
406,Sneakers,Clothing,142.65,12
407,Digital Camera,Electronics,192.74,10
408,Jeans,Clothing,110.05,14
409,Running Shoes,Sports,133.58,48
410,Jeans,Clothing,157.83,38
411,Stapler,Office Supplies,314.71,34
412,Smartwatch,Electronics,192.03,40
413,Jacket,Clothing,251.09,36
414,Hat,Clothing,340.86,41
415,Jeans,Clothing,198.52,36
416,Desk Organizer,Office Supplies,428.66,42
417,Basketball Hoop,Sports,428.43,36
418,Ink Cartridge,Office Supplies,15.01,37
419,Tennis Racket,Sports,258.94,25
420,File Folder,Office Supplies,465.05,42
